local,category,intercept,coefficients,columns,length
서울특별시 강서구,체중조절,56.34753514387738,3.1693313010887696,promo_day_cnt,17
서울특별시 강서구,체중조절,56.34753514387738,1.022975256344423,promo_ssn_cnt,17
서울특별시 강서구,체중조절,56.34753514387738,14.174975110315827,promo_disc_cnt,17
서울특별시 강서구,체중조절,56.34753514387738,-13.724851946621868,promo_mem_cnt,17
서울특별시 강서구,체중조절,56.34753514387738,6.357011727050501,promo_co_cnt,17
서울특별시 강서구,체중조절,56.34753514387738,1.77868292411878,avg_temp,17
서울특별시 강서구,체중조절,56.34753514387738,-1.7673865565225764,ilgyo,17
서울특별시 강서구,체중조절,56.34753514387738,-0.16011858731573264,avg_rhm,17
서울특별시 강서구,체중조절,56.34753514387738,-0.12356659726936524,pm10,17
서울특별시 강서구,체중조절,56.34753514387738,-1.5070317730360991,cloud,17
서울특별시 강서구,체중조절,56.34753514387738,32.726922471242915,gen_cd_F,17
서울특별시 강서구,체중조절,56.34753514387738,-32.72692247124292,gen_cd_M,17
서울특별시 강서구,체중조절,56.34753514387738,-35.832131114638024,agegr_20_1,17
서울특별시 강서구,체중조절,56.34753514387738,50.43799338469787,agegr_20_2,17
서울특별시 강서구,체중조절,56.34753514387738,-10.001250768279155,agegr_20_3,17
서울특별시 강서구,체중조절,56.34753514387738,-4.604611501780678,agegr_20_4,17
서울특별시 강서구,체중조절,56.34753514387738,0.0,서울특별시 강서구,17
