local,category,intercept,coefficients,columns,length
경기도 안양시,네일,24.20574499809763,36.035942898965864,promo_day_cnt,17
경기도 안양시,네일,24.20574499809763,28.975129114272335,promo_ssn_cnt,17
경기도 안양시,네일,24.20574499809763,20.475921698808236,promo_disc_cnt,17
경기도 안양시,네일,24.20574499809763,-11.948439198134269,promo_mem_cnt,17
경기도 안양시,네일,24.20574499809763,23.766514144847168,promo_co_cnt,17
경기도 안양시,네일,24.20574499809763,4.745638976829321,avg_temp,17
경기도 안양시,네일,24.20574499809763,-2.252065263248574,ilgyo,17
경기도 안양시,네일,24.20574499809763,-0.32406432156735887,avg_rhm,17
경기도 안양시,네일,24.20574499809763,-0.30465722038864235,pm10,17
경기도 안양시,네일,24.20574499809763,-2.580841752688303,cloud,17
경기도 안양시,네일,24.20574499809763,59.91685304330436,gen_cd_F,17
경기도 안양시,네일,24.20574499809763,-59.9168530433044,gen_cd_M,17
경기도 안양시,네일,24.20574499809763,-62.205743199142326,agegr_20_1,17
경기도 안양시,네일,24.20574499809763,107.50017885677073,agegr_20_2,17
경기도 안양시,네일,24.20574499809763,-6.812942830110875,agegr_20_3,17
경기도 안양시,네일,24.20574499809763,-38.48149282751756,agegr_20_4,17
경기도 안양시,네일,24.20574499809763,0.0,경기도 안양시,17
