,korea_hnb.qty
korea_hnb.qty,1.0
브랜드세일놀라운세일쇼,0.4923120275144104
9월브랜드세일,0.2716902570694442
원더랄라블라데이,0.2320542626580833
MDSPICK가을맞이아이템,0.15816316314933315
원더랄라블라데이.1,0.14549386580448415
6월브랜드세일,0.1325956570264224
SALE불이켜셨다,0.11575802836280853
현대카드HCoin제휴이벤트,0.06525586952930483
