,korea_hnb.qty
korea_hnb.qty,1.0
UPTO50,0.5102186849838714
GETYOUREXTRAGIFTS,0.4400796967242614
활짝필너에게봄을줄게,0.4400796967242614
UPto50BIGSALE,0.24431890214588153
슈퍼왓슨스데이.4,0.2416183967750534
미리썸머대전,0.1612484765736648
퍼펙트하게선물하쉐어,0.14380274620599012
환상의나라왓슨스팤세일,0.13742474093695237
왓슨스데이.1,0.10114858866342101
새로워진ALLNEW왓슨스데이,0.09105350556881527
월리와함께하는왓슨스팤세일,0.06961466478266348
화이트데이사랑을보여줘,0.05597912130154916
