,korea_hnb.qty
korea_hnb.qty,1.0
랄라블라에서쿨하게놀자더위언팔,0.6058701676024149
랄라블라에서위비꿀머니사용하고모바일상품권받자,0.5749417829363538
마지막여름을즐기는SUMMERPARTY,0.39902466503681433
강력하게돌아온WONDER랄라블라데이,0.3494320439580919
6월브랜드세일,0.17206433500677668
COOL한1등이쏜다,0.13180863879646137
현대카드HCoin제휴이벤트,0.08796284636318362
9월브랜드세일,0.08278457847258214
랄라블라데이라이징스타2018,0.059387703640448146
